卷號,上,右,左,下,
100003265828_#2.jpg _P4,1467.00136332588,2145.02330989665,2145.00839159198,1463.00136705336,
100003275823_#2.jpg _P4,1466.00136425585,2145.01142188101,2145.00839159198,1465.00136518708,
100003285818_#2.jpg _P4,1466.00306957387,2144.01492532118,2145.01142188101,1465.00136518708,
100003295813_#2.jpg _P4,1466.00306957387,2145.01888103578,2145.01491836304,1465.00307166913,
100003305851_#2.jpg _P4,1467.00034083159,2145.01142188101,2145.00582749791,1465.00034129689,
100003315846_#2.jpg _P4,1465.00307166913,2145.02330989665,2145.01491836304,1463.00307586826,
100003325841_#2.jpg _P4,1466.00545701576,2145.03356617094,2146.01491141138,1462.00307797214,
100003335836_#2.jpg _P4,1466.00545701576,2145.03939357766,2145.01491836304,1461.00547569131,
100003345831_#2.jpg _P4,1465.00307166913,2145.01888103578,2146.00838768165,1462.00136798842,
100003355826_#2.jpg _P4,1466.00136425585,2145.02820494277,2145.01142188101,1462.00136798842,
100003365821_#2.jpg _P4,1467.00306748146,2145.02820494277,2145.01491836304,1464.00307376727,
100004015856_#2.jpg _P4,1466.00306957387,2144.01142720835,2145.00582749791,1464.00136611958,
100004025851_#2.jpg _P4,1465.00546074068,2144.01888984216,2146.01491141138,1464.00136611958,
100004035846_#2.jpg _P4,1465.00546074068,2144.02821809789,2146.01141655864,1461.00136892475,
100004045841_#2.jpg _P4,1465.00546074068,2144.01492532118,2146.01141655864,1464.00136611958,
100004055836_#2.jpg _P4,1467.00545329593,2145.02820494277,2146.00838768165,1462.00307797214,
100004065831_#2.jpg _P4,1466.00306957387,2145.02330989665,2145.01491836304,1464.00307376727,
100004075826_#2.jpg _P4,1467.00852076598,2143.03359749678,2146.01141655864,1462.00136798842,
100004085821_#2.jpg _P4,1466.00545701576,2144.02821809789,2146.01141655864,1462.00136798842,
100004095816_#2.jpg _P4,1465.00307166913,2144.01492532118,2146.00838768165,1463.00034176346,
100004105854_#2.jpg _P4,1467.00852076598,2144.03358182655,2146.01141655864,1462.00307797214,
100004115849_#2.jpg _P4,1466.00852657821,2144.02821809789,2146.01141655864,1462.00307797214,
100004125844_#2.jpg _P4,1468.01226152917,2144.04570846799,2147.01141124122,1461.00308007889,
100004135839_#2.jpg _P4,1467.00852076598,2144.03941195119,2146.01141655864,1461.00308007889,
100004145834_#2.jpg _P4,1467.00852076598,2143.03359749678,2146.00838768165,1461.00136892475,
100004155829_#2.jpg _P4,1466.00545701576,2145.02820494277,2147.01141124122,1462.00136798842,
100004165824_#2.jpg _P4,1467.00852076598,2144.03358182655,2147.01141124122,1462.00136798842,
100004175819_#2.jpg _P4,1467.00545329593,2145.03356617094,2147.01141124122,1462.00136798842,
100004185814_#2.jpg _P4,1465.00307166913,2145.01491836304,2146.01141655864,1464.00136611958,
100004195809_#2.jpg _P4,1466.00306957387,2144.02332076869,2146.00838768165,1462.00034199722,
100004205847_#2.jpg _P4,1466.00306957387,2145.01888103578,2146.00838768165,1463.00136705336,
100004215842_#2.jpg _P4,1466.00306957387,2145.02330989665,2146.01141655864,1463.00136705336,
100004225837_#2.jpg _P4,1467.00545329593,2145.03356617094,2147.01141124122,1462.00136798842,
