卷號,上,右,左,下,卷號,上寬,右高,左高,下寬,上寬-下寬,左高-右高,,列標籤,計數 - 上寬-下寬
100004335825_#1.jpg _P1,1463.001367,2149.002094,2147.000932,1462.005472,100004335825_#1.jpg _P1,1463,2149,2147,1462,1,2,,,
100004345820_#1.jpg _P1,1462.000342,2150.000233,2147.000233,1462.005472,100004345820_#1.jpg _P1,1462,2150,2147,1462,0,3,,,
100004355815_#1.jpg _P1,1462.001368,2149.000931,2146.000233,1461.008556,100004355815_#1.jpg _P1,1462,2149,2146,1461,1,3,,,
100004365810_#1.jpg _P1,1463.001367,2149,2147,1463.005468,100004365810_#1.jpg _P1,1463,2149,2147,1463,0,2,,,
100005015845_#1.jpg _P1,1462,2150.00093,2147.000932,1462.003078,100005015845_#1.jpg _P1,1462,2150,2147,1462,0,3,,,
100005025840_#1.jpg _P1,1463.000342,2150.00093,2148.000233,1462.003078,100005025840_#1.jpg _P1,1463,2150,2148,1462,1,2,,,
100005035835_#1.jpg _P1,1463.001367,2149.002094,2146.002097,1463.000342,100005035835_#1.jpg _P1,1463,2149,2146,1463,0,3,,,
100005045830_#1.jpg _P1,1462,2150.00093,2147.000932,1462.003078,100005045830_#1.jpg _P1,1462,2150,2147,1462,0,3,,,
100005055825_#1.jpg _P1,1463.000342,2150.000233,2148.000233,1461.00308,100005055825_#1.jpg _P1,1463,2150,2148,1461,2,2,,,
100005065820_#1.jpg _P1,1463.000342,2150.000233,2147.000932,1462.001368,100005065820_#1.jpg _P1,1463,2150,2147,1462,1,3,,,
100005075815_#1.jpg _P1,1463,2150,2147.000233,1462.003078,100005075815_#1.jpg _P1,1463,2150,2147,1462,1,3,,,
100005085810_#1.jpg _P1,1464.000342,2150.000233,2147.000932,1463.001367,100005085810_#1.jpg _P1,1464,2150,2147,1463,1,3,,,
100005095805_#1.jpg _P1,1464.000342,2149.000233,2147,1463.003076,100005095805_#1.jpg _P1,1464,2149,2147,1463,1,2,,,
100005105843_#1.jpg _P1,1463,2150,2147.000233,1462.003078,100005105843_#1.jpg _P1,1463,2150,2147,1462,1,3,,,
100005115838_#1.jpg _P1,1464.000342,2149.000233,2147.000233,1462.003078,100005115838_#1.jpg _P1,1464,2149,2147,1462,2,2,,,
100005125833_#1.jpg _P1,1462.001368,2149.000931,2147.000233,1461.005476,100005125833_#1.jpg _P1,1462,2149,2147,1461,1,2,,,
100005135828_#1.jpg _P1,1463.001367,2149.000931,2147.000932,1463.005468,100005135828_#1.jpg _P1,1463,2149,2147,1463,0,2,,,
100005145823_#1.jpg _P1,1463.001367,2149.000233,2147.000233,1463.005468,100005145823_#1.jpg _P1,1463,2149,2147,1463,0,2,,,
100005155818_#1.jpg _P1,1463,2150,2147,1463.003076,100005155818_#1.jpg _P1,1463,2150,2147,1463,0,3,,,
100005165813_#1.jpg _P1,1463.000342,2149,2147,1463.003076,100005165813_#1.jpg _P1,1463,2149,2147,1463,0,2,,,
100005175808_#1.jpg _P1,1463.001367,2149.000233,2149.000233,1463.001367,100005175808_#1.jpg _P1,1463,2149,2149,1463,0,0,,,
100005185803_#1.jpg _P1,1463,2149,2147,1463.001367,100005185803_#1.jpg _P1,1463,2149,2147,1463,0,2,,,
