卷號,上,右,左,下,卷號,上寬,右高,左高,下寬,上寬-下寬,右高-左高,,卷號,(全部)
100002224859_#1.jpg _P1,1453.000344,2148.000931,2149.002094,1452.001377,100002224859_#1.jpg _P1,1453,2148,2149,1452,1,-1,,,
100002234854_#1.jpg _P1,1453.000344,2148.000233,2149.000931,1452.001377,100002234854_#1.jpg _P1,1453,2148,2149,1452,1,-1,,,
100002244849_#1.jpg _P1,1452.000344,2149.000233,2148.000233,1452,100002244849_#1.jpg _P1,1452,2149,2148,1452,0,1,,,
100002254844_#1.jpg _P1,1452.000344,2148.000233,2149.000233,1452.001377,100002254844_#1.jpg _P1,1452,2148,2149,1452,0,-1,,,
100002264839_#1.jpg _P1,1452.000344,2147.000233,2149.000233,1452.000344,100002264839_#1.jpg _P1,1452,2147,2149,1452,0,-2,,,
100002274834_#1.jpg _P1,1451.000345,2148,2149.000931,1453,100002274834_#1.jpg _P1,1451,2148,2149,1453,-2,-1,,,
100002284829_#1.jpg _P1,1452.000344,2147.000233,2150.000233,1452.001377,100002284829_#1.jpg _P1,1452,2147,2150,1452,0,-3,,,
100002294824_#1.jpg _P1,1452.000344,2148,2149.000233,1453,100002294824_#1.jpg _P1,1452,2148,2149,1453,-1,-1,,,
100002304862_#1.jpg _P1,1452,2148.000931,2149.000233,1453.000344,100002304862_#1.jpg _P1,1452,2148,2149,1453,-1,-1,,,
100002314857_#1.jpg _P1,1452,2148,2149.000233,1451.000345,100002314857_#1.jpg _P1,1452,2148,2149,1451,1,-1,,,
100002324852_#1.jpg _P1,1451,2148.000233,2149,1452.000344,100002324852_#1.jpg _P1,1451,2148,2149,1452,-1,-1,,,
100002334847_#1.jpg _P1,1450,2148.000931,2150.000233,1451.001378,100002334847_#1.jpg _P1,1450,2148,2150,1451,-1,-2,,,
100002344842_#1.jpg _P1,1450.000345,2148.000931,2149.000233,1451.001378,100002344842_#1.jpg _P1,1450,2148,2149,1451,-1,-1,,,
100002354837_#1.jpg _P1,1450.000345,2148.000931,2148.000233,1451.000345,100002354837_#1.jpg _P1,1450,2148,2148,1451,-1,0,,,
100002364832_#1.jpg _P1,1452.001377,2147.000233,2150,1451.000345,100002364832_#1.jpg _P1,1452,2147,2150,1451,1,-3,,,
100003014867_#1.jpg _P1,1452,2148.000233,2149.002094,1450.000345,100003014867_#1.jpg _P1,1452,2148,2149,1450,2,-1,,,
100003024862_#1.jpg _P1,1452.000344,2148.000233,2148.002095,1450.000345,100003024862_#1.jpg _P1,1452,2148,2148,1450,2,0,,,
100003034857_#1.jpg _P1,1452,2147.000233,2149.000931,1451.001378,100003034857_#1.jpg _P1,1452,2147,2149,1451,1,-2,,,
100003044852_#1.jpg _P1,1453,2149,2149.000931,1451,100003044852_#1.jpg _P1,1453,2149,2149,1451,2,0,,,
100003054847_#1.jpg _P1,1453,2148,2149.000931,1451.000345,100003054847_#1.jpg _P1,1453,2148,2149,1451,2,-1,,,
100003064842_#1.jpg _P1,1446.000346,2148.000931,2149.002094,1445.001384,100003064842_#1.jpg _P1,1446,2148,2149,1445,1,-1,,,
100003074837_#1.jpg _P1,1453,2147.000233,2149.002094,1451.001378,100003074837_#1.jpg _P1,1453,2147,2149,1451,2,-2,,,
100003084832_#1.jpg _P1,1452,2148,2148.000931,1450,100003084832_#1.jpg _P1,1452,2148,2148,1450,2,0,,,
100003094827_#1.jpg _P1,1452,2148.000233,2149.002094,1450.000345,100003094827_#1.jpg _P1,1452,2148,2149,1450,2,-1,,,
100003104865_#1.jpg _P1,1451.001378,2148.002095,2148.003724,1450.001379,100003104865_#1.jpg _P1,1451,2148,2148,1450,1,0,,,
100003114860_#1.jpg _P1,1452.000344,2149.000233,2149.000931,1451.000345,100003114860_#1.jpg _P1,1452,2149,2149,1451,1,0,,,
100003124855_#1.jpg _P1,1452.000344,2148.000931,2149.002094,1451.001378,100003124855_#1.jpg _P1,1452,2148,2149,1451,1,-1,,,
100003134850_#1.jpg _P1,1451.000345,2148.000233,2149.000233,1451.001378,100003134850_#1.jpg _P1,1451,2148,2149,1451,0,-1,,,
100003144845_#1.jpg _P1,1452.000344,2148.000233,2148.000233,1452.000344,100003144845_#1.jpg _P1,1452,2148,2148,1452,0,0,,,
100003154840_#1.jpg _P1,1452,2148.000233,2148.000233,1452,100003154840_#1.jpg _P1,1452,2148,2148,1452,0,0,,,
100003164835_#1.jpg _P1,1452.000344,2148.000233,2148.000931,1451.000345,100003164835_#1.jpg _P1,1452,2148,2148,1451,1,0,,,
100003174830_#1.jpg _P1,1453.000344,2148.000233,2148.000931,1452.000344,100003174830_#1.jpg _P1,1453,2148,2148,1452,1,0,,,
100003184825_#1.jpg _P1,1451.000345,2149.000931,2149.000931,1451.000345,100003184825_#1.jpg _P1,1451,2149,2149,1451,0,0,,,
100003194820_#1.jpg _P1,1452.000344,2148.000233,2149.000931,1451.001378,100003194820_#1.jpg _P1,1452,2148,2149,1451,1,-1,,,
100003204858_#1.jpg _P1,1452.001377,2148.000931,2148.002095,1451.001378,100003204858_#1.jpg _P1,1452,2148,2148,1451,1,0,,,
100003214853_#1.jpg _P1,1452.000344,2148.000931,2149.002094,1451.001378,100003214853_#1.jpg _P1,1452,2148,2149,1451,1,-1,,,
100003224848_#1.jpg _P1,1451,2148.000233,2149.000931,1450.000345,100003224848_#1.jpg _P1,1451,2148,2149,1450,1,-1,,,
100003234843_#1.jpg _P1,1452.000344,2149,2148.000931,1450,100003234843_#1.jpg _P1,1452,2149,2148,1450,2,1,,,
100003244838_#1.jpg _P1,1453.001376,2148.002095,2149.008376,1450.003103,100003244838_#1.jpg _P1,1453,2148,2149,1450,3,-1,,,
100003254833_#1.jpg _P1,1453.000344,2148,2148.002095,1450.000345,100003254833_#1.jpg _P1,1453,2148,2148,1450,3,0,,,
100003264828_#1.jpg _P1,1452.001377,2149.000931,2149.002094,1451.001378,100003264828_#1.jpg _P1,1452,2149,2149,1451,1,0,,,
100003274823_#1.jpg _P1,1453.000344,2148.000233,2148.002095,1451.000345,100003274823_#1.jpg _P1,1453,2148,2148,1451,2,0,,,
100003284818_#1.jpg _P1,1453.000344,2148,2148.000931,1451.000345,100003284818_#1.jpg _P1,1453,2148,2148,1451,2,0,,,
100003294813_#1.jpg _P1,1452.000344,2147.000932,2149.002094,1451.003101,100003294813_#1.jpg _P1,1452,2147,2149,1451,1,-2,,,
100003304851_#1.jpg _P1,1453.000344,2148.000233,2148.000931,1452.000344,100003304851_#1.jpg _P1,1453,2148,2148,1452,1,0,,,
100003314846_#1.jpg _P1,1452.000344,2148.000233,2149.000931,1451.001378,100003314846_#1.jpg _P1,1452,2148,2149,1451,1,-1,,,
100003324841_#1.jpg _P1,1452.000344,2148.000931,2148.000931,1452.000344,100003324841_#1.jpg _P1,1452,2148,2148,1452,0,0,,,
100003334836_#1.jpg _P1,1451.000345,2148.000233,2148.000233,1451.000345,100003334836_#1.jpg _P1,1451,2148,2148,1451,0,0,,,
100003344831_#1.jpg _P1,1451.000345,2149.000233,2148.000233,1451,100003344831_#1.jpg _P1,1451,2149,2148,1451,0,1,,,
100003354826_#1.jpg _P1,1451.000345,2148.000233,2149.002094,1449.00138,100003354826_#1.jpg _P1,1451,2148,2149,1449,2,-1,,,
100003364821_#1.jpg _P1,1452.000344,2149.000233,2149.000931,1451.000345,100003364821_#1.jpg _P1,1452,2149,2149,1451,1,0,,,
100004014856_#1.jpg _P1,1452,2148.000233,2149.002094,1450.000345,100004014856_#1.jpg _P1,1452,2148,2149,1450,2,-1,,,
100004024851_#1.jpg _P1,1452,2148.000233,2149.000931,1451.000345,100004024851_#1.jpg _P1,1452,2148,2149,1451,1,-1,,,
100004034846_#1.jpg _P1,1452,2148.000233,2149.000931,1451.000345,100004034846_#1.jpg _P1,1452,2148,2149,1451,1,-1,,,
100004044841_#1.jpg _P1,1453.000344,2148.000233,2149.002094,1451.001378,100004044841_#1.jpg _P1,1453,2148,2149,1451,2,-1,,,
100004054836_#1.jpg _P1,1453,2148.000233,2149.000931,1452.000344,100004054836_#1.jpg _P1,1453,2148,2149,1452,1,-1,,,
100004064831_#1.jpg _P1,1453,2148.000233,2149.002094,1451.000345,100004064831_#1.jpg _P1,1453,2148,2149,1451,2,-1,,,
100004074826_#1.jpg _P1,1451,2148.000233,2149.000233,1451.000345,100004074826_#1.jpg _P1,1451,2148,2149,1451,0,-1,,,
100004084821_#1.jpg _P1,1452.000344,2148.000233,2149.000931,1451.001378,100004084821_#1.jpg _P1,1452,2148,2149,1451,1,-1,,,
100004094816_#1.jpg _P1,1451.000345,2148.000233,2148.000233,1451.000345,100004094816_#1.jpg _P1,1451,2148,2148,1451,0,0,,,
100004104854_#1.jpg _P1,1451,2147.000932,2149.000931,1451.001378,100004104854_#1.jpg _P1,1451,2147,2149,1451,0,-2,,,
100004114849_#1.jpg _P1,1453,2147.000233,2148.000931,1450.000345,100004114849_#1.jpg _P1,1453,2147,2148,1450,3,-1,,,
100004124844_#1.jpg _P1,1451.001378,2148.000931,2148.002095,1450.001379,100004124844_#1.jpg _P1,1451,2148,2148,1450,1,0,,,
100004134839_#1.jpg _P1,1452,2148.000233,2149.000233,1450.000345,100004134839_#1.jpg _P1,1452,2148,2149,1450,2,-1,,,
100004144834_#1.jpg _P1,1452,2148,2148.000233,1451,100004144834_#1.jpg _P1,1452,2148,2148,1451,1,0,,,
100004154829_#1.jpg _P1,1452,2148,2149.000233,1451.000345,100004154829_#1.jpg _P1,1452,2148,2149,1451,1,-1,,,
100004164824_#1.jpg _P1,1452.000344,2148.000931,2149.002094,1451.001378,100004164824_#1.jpg _P1,1452,2148,2149,1451,1,-1,,,
100004174819_#1.jpg _P1,1452,2147,2148.000931,1450.000345,100004174819_#1.jpg _P1,1452,2147,2148,1450,2,-1,,,
100004184814_#1.jpg _P1,1452,2148,2148,1452,100004184814_#1.jpg _P1,1452,2148,2148,1452,0,0,,,
100004194809_#1.jpg _P1,1451.000345,2148.000931,2149.000931,1451.001378,100004194809_#1.jpg _P1,1451,2148,2149,1451,0,-1,,,
100004204847_#1.jpg _P1,1451,2147,2148.000233,1450.000345,100004204847_#1.jpg _P1,1451,2147,2148,1450,1,-1,,,
100004214842_#1.jpg _P1,1452.000344,2148.000233,2149.000931,1451.001378,100004214842_#1.jpg _P1,1452,2148,2149,1451,1,-1,,,
100004224837_#1.jpg _P1,1452.000344,2147,2148.000233,1451.001378,100004224837_#1.jpg _P1,1452,2147,2148,1451,1,-1,,,
100004234832_#1.jpg _P1,1452,2148.000233,2149.000233,1452.000344,100004234832_#1.jpg _P1,1452,2148,2149,1452,0,-1,,,
100004244827_#1.jpg _P1,1452,2147.000233,2148.000233,1452.000344,100004244827_#1.jpg _P1,1452,2147,2148,1452,0,-1,,,
100004254822_#1.jpg _P1,1452.000344,2148.000233,2148.000233,1452.000344,100004254822_#1.jpg _P1,1452,2148,2148,1452,0,0,,,
100004264817_#1.jpg _P1,1452.000344,2147.000233,2147.000233,1452.000344,100004264817_#1.jpg _P1,1452,2147,2147,1452,0,0,,,
100004274812_#1.jpg _P1,1452,2148.000233,2149.000233,1452.000344,100004274812_#1.jpg _P1,1452,2148,2149,1452,0,-1,,,
100004284807_#1.jpg _P1,1451.000345,2148.000931,2149.000931,1451.001378,100004284807_#1.jpg _P1,1451,2148,2149,1451,0,-1,,,
100004294802_#1.jpg _P1,1451.000345,2148.000233,2148.000233,1451.000345,100004294802_#1.jpg _P1,1451,2148,2148,1451,0,0,,,
100004304840_#1.jpg _P1,1452.000344,2147.000233,2148.000931,1451.001378,100004304840_#1.jpg _P1,1452,2147,2148,1451,1,-1,,,
100004314835_#1.jpg _P1,1452.000344,2147.000932,2148.000931,1452.001377,100004314835_#1.jpg _P1,1452,2147,2148,1452,0,-1,,,
100004324830_#1.jpg _P1,1451.000345,2147.002096,2148.002095,1451.001378,100004324830_#1.jpg _P1,1451,2147,2148,1451,0,-1,,,
100004334825_#1.jpg _P1,1452.001377,2148.000931,2148.002095,1451.001378,100004334825_#1.jpg _P1,1452,2148,2148,1451,1,0,,,
100004344820_#1.jpg _P1,1452.000344,2148,2148.000931,1450.000345,100004344820_#1.jpg _P1,1452,2148,2148,1450,2,0,,,
100004354815_#1.jpg _P1,1451,2147.000233,2149.000931,1450.001379,100004354815_#1.jpg _P1,1451,2147,2149,1450,1,-2,,,
100004364810_#1.jpg _P1,1452.000344,2147.000233,2149.002094,1450.003103,100004364810_#1.jpg _P1,1452,2147,2149,1450,2,-2,,,
100005014845_#1.jpg _P1,1451.000345,2148.000233,2149.000233,1451.001378,100005014845_#1.jpg _P1,1451,2148,2149,1451,0,-1,,,
100005024840_#1.jpg _P1,1451.000345,2147.000932,2149.002094,1450.003103,100005024840_#1.jpg _P1,1451,2147,2149,1450,1,-2,,,
100005034835_#1.jpg _P1,1452,2147.000932,2149.002094,1451.001378,100005034835_#1.jpg _P1,1452,2147,2149,1451,1,-2,,,
100005044830_#1.jpg _P1,1451,2148.000233,2149.000233,1451.000345,100005044830_#1.jpg _P1,1451,2148,2149,1451,0,-1,,,
100005054825_#1.jpg _P1,1452,2147.000932,2149.002094,1451.001378,100005054825_#1.jpg _P1,1452,2147,2149,1451,1,-2,,,
100005064820_#1.jpg _P1,1452.000344,2147,2149.000233,1451.000345,100005064820_#1.jpg _P1,1452,2147,2149,1451,1,-2,,,
100005074815_#1.jpg _P1,1452,2148.000233,2149.000931,1451.000345,100005074815_#1.jpg _P1,1452,2148,2149,1451,1,-1,,,
100005084810_#1.jpg _P1,1452,2147.000233,2148.000233,1452.000344,100005084810_#1.jpg _P1,1452,2147,2148,1452,0,-1,,,
100005094805_#1.jpg _P1,1452,2147,2148.000233,1451.000345,100005094805_#1.jpg _P1,1452,2147,2148,1451,1,-1,,,
100005104843_#1.jpg _P1,1452.000344,2146.000932,2149.002094,1451.005513,100005104843_#1.jpg _P1,1452,2146,2149,1451,1,-3,,,
100005114838_#1.jpg _P1,1451,2147.000233,2148.000233,1451.000345,100005114838_#1.jpg _P1,1451,2147,2148,1451,0,-1,,,
100005124833_#1.jpg _P1,1452.000344,2148.000233,2148.000931,1451.000345,100005124833_#1.jpg _P1,1452,2148,2148,1451,1,0,,,
100005134828_#1.jpg _P1,1452.000344,2148.000233,2149.002094,1450.001379,100005134828_#1.jpg _P1,1452,2148,2149,1450,2,-1,,,
100005144823_#1.jpg _P1,1452.000344,2147.000932,2149.003723,1450.003103,100005144823_#1.jpg _P1,1452,2147,2149,1450,2,-2,,,
100005154818_#1.jpg _P1,1452,2147.000233,2149.000931,1451.001378,100005154818_#1.jpg _P1,1452,2147,2149,1451,1,-2,,,
100005164813_#1.jpg _P1,1452,2147,2149.000931,1450.001379,100005164813_#1.jpg _P1,1452,2147,2149,1450,2,-2,,,
100005174808_#1.jpg _P1,1451.000345,2147.000233,2148.000931,1450.001379,100005174808_#1.jpg _P1,1451,2147,2148,1450,1,-1,,,
100005184803_#1.jpg _P1,1451.000345,2148.000233,2149.000931,1450.001379,100005184803_#1.jpg _P1,1451,2148,2149,1450,1,-1,,,
100005194895_#1.jpg _P1,1451.000345,2148.000233,2149.000931,1450.001379,100005194895_#1.jpg _P1,1451,2148,2149,1450,1,-1,,,
100005204836_#1.jpg _P1,1452.000344,2148.000233,2149.002094,1450.001379,100005204836_#1.jpg _P1,1452,2148,2149,1450,2,-1,,,
100005214831_#1.jpg _P1,1452.000344,2148.000233,2148.002095,1450.000345,100005214831_#1.jpg _P1,1452,2148,2148,1450,2,0,,,
100005224826_#1.jpg _P1,1452.001377,2148.000931,2148.002095,1451.001378,100005224826_#1.jpg _P1,1452,2148,2148,1451,1,0,,,
100005234821_#1.jpg _P1,1452.000344,2148.000931,2149.002094,1451.001378,100005234821_#1.jpg _P1,1452,2148,2149,1451,1,-1,,,
100005244816_#1.jpg _P1,1451,2147.000233,2149.000931,1450.001379,100005244816_#1.jpg _P1,1451,2147,2149,1450,1,-2,,,
100005254811_#1.jpg _P1,1451,2148.000233,2149.000233,1451.000345,100005254811_#1.jpg _P1,1451,2148,2149,1451,0,-1,,,
100005264806_#1.jpg _P1,1452.000344,2148.000233,2148.000233,1452.000344,100005264806_#1.jpg _P1,1452,2148,2148,1452,0,0,,,
100005274801_#1.jpg _P1,1452.000344,2148.000233,2149.002094,1450.001379,100005274801_#1.jpg _P1,1452,2148,2149,1450,2,-1,,,
100005284893_#1.jpg _P1,1452,2148,2148.000931,1450,100005284893_#1.jpg _P1,1452,2148,2148,1450,2,0,,,
100005294888_#1.jpg _P1,1452,2148,2149.000931,1450.000345,100005294888_#1.jpg _P1,1452,2148,2149,1450,2,-1,,,
100005304829_#1.jpg _P1,1452.000344,2148.000233,2148.000931,1451.000345,100005304829_#1.jpg _P1,1452,2148,2148,1451,1,0,,,
