卷號,左上X,左上Y,右上X,右上Y,左下X,左下Y,右下X,右下Y,
10000189.jpg _P1,81,72,1161,71,83,1583,1164,1582,
10000190.jpg _P1,83,72,1163,72,84,1584,1164,1583,
10000191.jpg _P1,81,72,1161,72,82,1582,1163,1583,
10000192.jpg _P1,84,72,1164,72,86,1583,1166,1584,
10000193.jpg _P1,82,72,1162,72,83,1583,1163,1583,
10000194.jpg _P1,83,72,1163,72,84,1583,1164,1583,
10000195.jpg _P1,81,72,1162,72,82,1583,1162,1585,
10000196.jpg _P1,82,72,1162,71,84,1583,1164,1583,
10000197.jpg _P1,83,72,1163,73,83,1583,1163,1583,
10000198.jpg _P1,83,71,1163,71,84,1583,1164,1583,
10000199.jpg _P1,82,72,1162,73,82,1584,1162,1584,
10000200.jpg _P1,83,72,1163,72,84,1583,1164,1582,
10000201.jpg _P1,82,72,1162,72,82,1584,1163,1583,
10000202.jpg _P1,83,71,1163,71,83,1582,1164,1582,
10000203.jpg _P1,81,71,1161,72,82,1583,1162,1584,
10000204.jpg _P1,83,71,1163,71,84,1582,1164,1582,
10000205.jpg _P1,82,71,1162,72,82,1582,1162,1583,
10000206.jpg _P1,83,71,1163,70,84,1583,1164,1581,
10000207.jpg _P1,82,71,1162,72,82,1582,1163,1582,
10000208.jpg _P1,82,72,1162,72,83,1583,1164,1583,
10000209.jpg _P1,81,72,1162,72,83,1583,1163,1583,
10000210.jpg _P1,83,71,1162,71,84,1583,1164,1582,
10000211.jpg _P1,81,72,1162,72,82,1583,1162,1584,
10000212.jpg _P1,82,72,1162,72,84,1584,1164,1584,
10000213.jpg _P1,81,72,1161,72,83,1584,1163,1583,
10000214.jpg _P1,82,71,1162,71,84,1582,1164,1581,
10000215.jpg _P1,81,71,1162,72,82,1582,1162,1583,
10000216.jpg _P1,82,72,1162,72,83,1584,1163,1584,
10000217.jpg _P1,82,72,1162,73,82,1583,1163,1584,
10000218.jpg _P1,83,71,1163,72,84,1584,1164,1583,
10000219.jpg _P1,81,72,1161,73,81,1583,1162,1584,
10000220.jpg _P1,83,72,1163,73,83,1582,1164,1583,
10000221.jpg _P1,81,71,1162,72,82,1582,1162,1584,
10000222.jpg _P1,82,71,1163,72,83,1582,1163,1582,
10000223.jpg _P1,82,71,1162,72,82,1582,1162,1583,
10000224.jpg _P1,83,72,1163,72,84,1583,1164,1583,
10000225.jpg _P1,80,71,1160,71,82,1581,1162,1582,
10000226.jpg _P1,83,71,1163,71,84,1582,1164,1582,
10000227.jpg _P1,80,71,1161,72,82,1582,1162,1583,
10000228.jpg _P1,84,71,1163,72,84,1581,1164,1582,
10000229.jpg _P1,80,72,1161,72,82,1584,1162,1583,
