卷號,左上X,左上Y,右上X,右上Y,左下X,左下Y,右下X,右下Y,
100005115838_#2.jpg _P3,152,105,1616,103,153,2253,1615,2250,
100005125833_#2.jpg _P3,154,105,1618,103,155,2253,1618,2251,
100005135828_#2.jpg _P3,152,104,1615,100,155,2251,1618,2247,
100005145823_#2.jpg _P3,151,104,1615,101,154,2251,1617,2248,
100005155818_#2.jpg _P3,153,104,1618,103,154,2252,1617,2251,
100005165813_#2.jpg _P3,151,103,1615,100,153,2251,1615,2247,
100005175808_#2.jpg _P3,153,105,1616,103,153,2252,1616,2250,
100005185803_#2.jpg _P3,151,105,1616,104,152,2252,1616,2250,
100005195895_#2.jpg _P3,153,103,1617,103,152,2251,1614,2250,
100005205836_#2.jpg _P3,155,105,1619,103,153,2251,1616,2250,
100005215831_#2.jpg _P3,153,102,1617,103,149,2250,1612,2250,
100005225826_#2.jpg _P3,154,105,1618,104,154,2252,1616,2250,
100005235821_#2.jpg _P3,152,103,1617,103,151,2250,1614,2249,
100005245816_#2.jpg _P3,154,104,1618,104,153,2252,1615,2251,
100005255811_#2.jpg _P3,155,104,1619,104,155,2252,1618,2250,
100005265806_#2.jpg _P3,152,103,1617,103,151,2251,1615,2250,
100005275801_#2.jpg _P3,152,102,1616,104,149,2250,1611,2251,
100005285893_#2.jpg _P3,155,107,1619,106,155,2254,1618,2253,
100005295888_#2.jpg _P3,153,104,1618,103,152,2251,1615,2250,
100005305829_#2.jpg _P3,150,105,1615,106,148,2252,1611,2252,
100005315824_#2.jpg _P3,151,105,1616,105,150,2252,1612,2252,
100005325819_#2.jpg _P3,154,105,1618,105,152,2252,1615,2251,
100005335814_#2.jpg _P3,155,103,1618,104,152,2250,1615,2250,
100005345809_#2.jpg _P3,154,89,1619,89,153,2236,1616,2235,
100005355804_#2.jpg _P3,152,105,1616,106,150,2253,1613,2252,
100005365896_#2.jpg _P3,152,104,1617,104,152,2251,1615,2250,
100006015834_#2.jpg _P3,153,105,1616,108,149,2251,1610,2253,
100006025829_#2.jpg _P3,154,106,1618,109,149,2251,1610,2253,
100006035824_#2.jpg _P3,153,106,1617,107,150,2252,1612,2253,
100006045819_#2.jpg _P3,153,105,1617,108,149,2251,1610,2253,
100006055814_#2.jpg _P3,153,105,1617,109,148,2252,1609,2253,
100006065809_#2.jpg _P3,154,106,1617,109,149,2252,1611,2254,
100006075804_#2.jpg _P3,151,105,1616,107,147,2250,1609,2252,
100006085896_#2.jpg _P3,153,106,1616,109,147,2252,1609,2254,
100006095891_#2.jpg _P3,153,106,1616,108,150,2252,1610,2253,
100006105832_#2.jpg _P3,154,102,1618,102,153,2249,1615,2248,
100006115827_#2.jpg _P3,154,103,1618,104,153,2250,1615,2248,
100006125822_#2.jpg _P3,152,104,1617,104,152,2251,1614,2249,
100006135817_#2.jpg _P3,155,106,1618,106,153,2252,1615,2251,
100006145812_#2.jpg _P3,154,103,1618,103,153,2250,1615,2249,
100006155807_#2.jpg _P3,153,104,1617,104,153,2251,1615,2249,
100006165802_#2.jpg _P3,155,101,1619,102,152,2248,1614,2248,
100006175894_#2.jpg _P3,154,105,1617,105,154,2252,1615,2251,
100006185889_#2.jpg _P3,155,104,1619,104,154,2250,1617,2249,
100006195884_#2.jpg _P3,151,104,1616,104,153,2251,1615,2248,
100006205825_#2.jpg _P3,154,105,1617,105,153,2252,1615,2251,
100006215820_#2.jpg _P3,153,101,1617,102,152,2248,1614,2247,
100006225815_#2.jpg _P3,154,104,1618,105,154,2252,1616,2250,
100006235810_#2.jpg _P3,153,99,1617,101,150,2245,1612,2246,
100006245805_#2.jpg _P3,154,105,1617,106,153,2252,1614,2251,
100006255897_#2.jpg _P3,155,105,1618,103,156,2252,1618,2249,
100006265892_#2.jpg _P3,152,104,1617,104,152,2250,1615,2248,
100006275887_#2.jpg _P3,153,102,1618,104,152,2249,1614,2248,
100006285882_#2.jpg _P3,154,99,1617,101,151,2246,1613,2246,
100006295877_#2.jpg _P3,153,104,1617,104,154,2252,1617,2249,
100006305818_#2.jpg _P3,154,103,1618,103,154,2250,1617,2248,
100006315813_#2.jpg _P3,153,105,1617,105,153,2251,1616,2250,
100006325808_#2.jpg _P3,151,104,1615,103,151,2249,1613,2249,
100006335803_#2.jpg _P3,155,101,1618,101,153,2248,1616,2246,
100006345895_#2.jpg _P3,155,102,1618,102,154,2249,1616,2248,
100006355890_#2.jpg _P3,155,102,1620,102,154,2248,1617,2248,
100006365885_#2.jpg _P3,153,103,1617,102,153,2248,1615,2248,
100007015823_#2.jpg _P3,153,106,1616,106,152,2252,1614,2251,
100007025818_#2.jpg _P3,155,106,1619,106,154,2252,1616,2251,
100007035813_#2.jpg _P3,153,105,1618,106,152,2251,1614,2250,
100007045808_#2.jpg _P3,154,106,1618,107,152,2253,1615,2252,
100007055803_#2.jpg _P3,154,103,1617,103,154,2250,1615,2248,
100007065895_#2.jpg _P3,153,105,1617,107,150,2252,1612,2252,
100007075890_#2.jpg _P3,154,105,1619,105,152,2252,1615,2250,
100007085885_#2.jpg _P3,154,105,1617,105,152,2252,1614,2251,
100007095880_#2.jpg _P3,154,104,1618,105,151,2251,1614,2250,
100007105821_#2.jpg _P3,154,104,1617,105,152,2251,1614,2250,
100007115816_#2.jpg _P3,153,104,1617,105,150,2251,1612,2251,
100007125811_#2.jpg _P3,152,105,1615,106,150,2252,1611,2251,
100007135806_#2.jpg _P3,154,107,1618.037,108.0815,152,2253,1614,2252,
100007145801_#2.jpg _P3,155,106,1618,107,154,2253,1616,2251,
100007155893_#2.jpg _P3,154,106,1618,106,153,2253,1615,2251,
100007165888_#2.jpg _P3,153,105,1618,107,151,2251,1613,2250,
100007175883_#2.jpg _P3,153,106,1617,107,151,2254,1614,2252,
100007185878_#2.jpg _P3,154,105,1618,106,151,2252,1614,2250,
100007195873_#2.jpg _P3,154,105,1618,105,153,2252,1615,2250,
100007205814_#2.jpg _P3,154,106,1617,106,154,2253,1614,2251,
100007215809_#2.jpg _P3,153,106,1617,107,152,2253,1613,2251,
100007225804_#2.jpg _P3,153,105,1618,106,152,2252,1615,2250,
100007235896_#2.jpg _P3,152,104,1616,106,149,2250,1611,2251,
100007245891_#2.jpg _P3,155,106,1619,106,154,2253,1616,2252,
100007255886_#2.jpg _P3,151,106,1616,106,150,2252,1613,2251,
100007265881_#2.jpg _P3,153,105,1618,106,153,2252,1615,2251,
100007275876_#2.jpg _P3,155,106,1619,107,153,2253,1616,2252,
100007285871_#2.jpg _P3,154,105,1618,106,152,2252,1615,2251,
100007295866_#2.jpg _P3,152,105,1616,106,150,2252,1613,2251,
100007305807_#2.jpg _P3,153,106,1617,107,151,2253,1613,2252,
100007315802_#2.jpg _P3,153,104,1616,105,151,2251,1613,2251,
100007325894_#2.jpg _P3,154,106,1619,106,154,2253,1617,2251,
100007335889_#2.jpg _P3,152,106,1617,106,151,2253,1614,2252,
100007345884_#2.jpg _P3,153,105,1617,106,151,2252,1613,2251,
100007355879_#2.jpg _P3,154,105,1618,105,155,2251,1616,2250,
100007365874_#2.jpg _P3,155,105,1619,105,155,2252,1617,2250,
100008015812_#2.jpg _P3,154,104,1619,104,152,2250,1615,2250,
100008025807_#2.jpg _P3,154,105,1618,105,153,2251,1616,2250,
100008035802_#2.jpg _P3,152,106,1616,105,152,2252,1614,2251,
100008045894_#2.jpg _P3,154,106,1618,105,153,2252,1616,2251,
100008055889_#2.jpg _P3,150,105,1614,105,148,2251,1611,2250,
100008065884_#2.jpg _P3,154,107,1618,106,153,2254,1616,2252,
100008075879_#2.jpg _P3,155,105,1619,106,152,2252,1615,2251,
100008085874_#2.jpg _P3,154,107,1617,106,153,2253,1615,2252,
100008095869_#2.jpg _P3,153,106,1616,106,151,2252,1613,2251,
100008105810_#2.jpg _P3,155,106,1619,106,154,2252,1616,2251,
100008115805_#2.jpg _P3,155,106,1619,105,155,2252,1617,2251,
100008125897_#2.jpg _P3,154,105,1618,106,151,2251,1614,2251,
100008135892_#2.jpg _P3,153,104,1617,105,152,2250,1614,2250,
100008145887_#2.jpg _P3,155,106,1619,105,154,2253,1617,2251,
100008155882_#2.jpg _P3,153,105,1617,105,151,2252,1614,2250,
100008165877_#2.jpg _P3,152,105,1617,105,151,2251,1613,2251,
100008175872_#2.jpg _P3,155,106,1619,106,153,2252,1616,2252,
100008185867_#2.jpg _P3,152,105,1616,105,150,2251,1612,2251,
100008195862_#2.jpg _P3,154,104,1619,104,154,2251,1616,2249,
100008205803_#2.jpg _P3,153,104,1617,104,151,2250,1613,2249,
100008215895_#2.jpg _P3,153,106,1617,106,153,2253,1615,2252,
100008225890_#2.jpg _P3,153,105,1617,105,152,2252,1614,2250,
100008235885_#2.jpg _P3,154,105,1619,105,153,2252,1615,2250,
100008245880_#2.jpg _P3,152,105,1617,106,150,2252,1613,2251,
100008255875_#2.jpg _P3,153,106,1618,106,152,2253,1615,2251,
100008265870_#2.jpg _P3,153,106,1617,106,152,2253,1615,2251,
100008275865_#2.jpg _P3,153,107,1617,107,152,2254,1614,2252,
100008285860_#2.jpg _P3,155,105,1619,105,153,2252,1616,2250,
100008295855_#2.jpg _P3,155,105,1619,105,154,2251,1616,2249,
100008305893_#2.jpg _P3,153,103,1617,103,150,2250,1613,2249,
100008315888_#2.jpg _P3,152,105,1615,105,151,2251,1613,2250,
100008325883_#2.jpg _P3,152,105,1616,105,152,2252,1614,2251,
100008335878_#2.jpg _P3,154,104,1618,104,153,2251,1615,2249,
100008345873_#2.jpg _P3,154,105,1618,104,154,2252,1616,2250,
