卷號,上,右,左,下,卷號,上寬,右高,左高,下寬,上寬-下寬,右高-左高,,列標籤,計數 - 上寬-下寬
10000200.jpg _P1,1080,1510.000331,1511.000331,1080.000463,10000200.jpg _P1,1080,1510,1511,1080,0,-1,,,
10000201.jpg _P1,1080,1511.000331,1512,1081.000463,10000201.jpg _P1,1080,1511,1512,1081,-1,-1,,,
10000202.jpg _P1,1080,1511.000331,1511,1081,10000202.jpg _P1,1080,1511,1511,1081,-1,0,,,
10000203.jpg _P1,1080.000463,1512.000331,1512.000331,1080.000463,10000203.jpg _P1,1080,1512,1512,1080,0,0,,,
10000204.jpg _P1,1080,1511.000331,1511.000331,1080,10000204.jpg _P1,1080,1511,1511,1080,0,0,,,
10000205.jpg _P1,1080.000463,1511,1511,1080.000463,10000205.jpg _P1,1080,1511,1511,1080,0,0,,,
10000206.jpg _P1,1080.000463,1511.000331,1512.000331,1080.001852,10000206.jpg _P1,1080,1511,1512,1080,0,-1,,,
10000207.jpg _P1,1080.000463,1510.000331,1511,1081,10000207.jpg _P1,1080,1510,1511,1081,-1,-1,,,
10000208.jpg _P1,1080,1511.001324,1511.000331,1081,10000208.jpg _P1,1080,1511,1511,1081,-1,0,,,
10000209.jpg _P1,1081,1511.000331,1511.001324,1080,10000209.jpg _P1,1081,1511,1511,1080,1,0,,,
10000210.jpg _P1,1079,1511.001324,1512.000331,1080.000463,10000210.jpg _P1,1079,1511,1512,1080,-1,-1,,,
10000211.jpg _P1,1081,1512,1511.000331,1080.000463,10000211.jpg _P1,1081,1512,1511,1080,1,1,,,
10000212.jpg _P1,1080,1512.001323,1512.001323,1080,10000212.jpg _P1,1080,1512,1512,1080,0,0,,,
10000213.jpg _P1,1080,1511.001324,1512.001323,1080.000463,10000213.jpg _P1,1080,1511,1512,1080,0,-1,,,
10000214.jpg _P1,1080,1510.001325,1511.001324,1080.000463,10000214.jpg _P1,1080,1510,1511,1080,0,-1,,,
10000215.jpg _P1,1081.000463,1511,1511.000331,1080.000463,10000215.jpg _P1,1081,1511,1511,1080,1,0,,,
10000216.jpg _P1,1080,1512.000331,1512.000331,1080,10000216.jpg _P1,1080,1512,1512,1080,0,0,,,
10000217.jpg _P1,1080.000463,1511.000331,1511,1081.000463,10000217.jpg _P1,1080,1511,1511,1081,-1,0,,,
10000218.jpg _P1,1080.000463,1511.000331,1513.00033,1080.000463,10000218.jpg _P1,1080,1511,1513,1080,0,-2,,,
10000219.jpg _P1,1080.000463,1511.000331,1511,1081.000463,10000219.jpg _P1,1080,1511,1511,1081,-1,0,,,
10000220.jpg _P1,1080.000463,1510.000331,1510,1081.000463,10000220.jpg _P1,1080,1510,1510,1081,-1,0,,,
10000221.jpg _P1,1081.000463,1512,1511.000331,1080.001852,10000221.jpg _P1,1081,1512,1511,1080,1,1,,,
10000222.jpg _P1,1081.000463,1510,1511.000331,1080,10000222.jpg _P1,1081,1510,1511,1080,1,-1,,,
10000223.jpg _P1,1080.000463,1511,1511,1080.000463,10000223.jpg _P1,1080,1511,1511,1080,0,0,,,
10000224.jpg _P1,1080,1511.000331,1511.000331,1080,10000224.jpg _P1,1080,1511,1511,1080,0,0,,,
10000225.jpg _P1,1080,1511.001324,1510.001325,1080.000463,10000225.jpg _P1,1080,1511,1510,1080,0,1,,,
10000226.jpg _P1,1080,1511.000331,1511.000331,1080,10000226.jpg _P1,1080,1511,1511,1080,0,0,,,
10000227.jpg _P1,1081.000463,1511.000331,1511.001324,1080.000463,10000227.jpg _P1,1081,1511,1511,1080,1,0,,,
10000228.jpg _P1,1079.000463,1510.000331,1510,1080.000463,10000228.jpg _P1,1079,1510,1510,1080,-1,0,,,
