卷號,左上X,左上Y,右上X,右上Y,左下X,左下Y,右下X,右下Y
0201_#1.jpg _P1,121,87,1538,88,119,2253,1534,2253
0202_#1.jpg _P1,124,77,1541,81,119,2244,1534,2246
0203_#1.jpg _P1,121,86,1539,88,119,2252,1535,2253
0204_#1.jpg _P1,121,86,1541,88,119,2254,1536,2254
0205_#1.jpg _P1,121,87,1540,89,119,2255,1537,2255
0206_#1.jpg _P1,122,87,1541,89,119,2254,1536,2255
0207_#1.jpg _P1,121,86,1539,89,118,2254,1535,2254
0208_#1.jpg _P1,123,85,1542,88,120,2253,1537,2253
0209_#1.jpg _P1,120,86,1539,88,117,2253,1535,2253
0210_#1.jpg _P1,121,85,1539,88,118,2253,1535,2253
0211_#1.jpg _P1,122,85,1539,87,119,2253,1535,2253
0212_#1.jpg _P1,121,86,1539,88,119,2253,1534,2253
0213_#1.jpg _P1,121,84,1538,87,118,2252,1534,2252
0214_#1.jpg _P1,121,84,1539,87,118,2251,1533,2252
0215_#1.jpg _P1,121,86,1538,88,119,2254,1534,2253
0216_#1.jpg _P1,120,86,1538,87,119,2253,1534,2252
0217_#1.jpg _P1,120,86,1538,87,119,2253,1534,2253
0218_#1.jpg _P1,121,84,1539,87,118,2252,1533,2253
0219_#1.jpg _P1,120,84,1539,86,118,2251,1534,2252
0220_#1.jpg _P1,119,82,1538,83,119,2250,1534,2250
0221_#1.jpg _P1,121,84,1539,87,118,2252,1534,2252
0222_#1.jpg _P1,121,83,1539,86,118,2250,1533,2251
0223_#1.jpg _P1,120,85,1539,87,118,2252,1534,2253
0224_#1.jpg _P1,122,77,1540,80,118,2244,1533,2246
0225_#1.jpg _P1,120,85,1538,86,120,2253,1535,2253
0226_#1.jpg _P1,121,82,1539,85,117,2249,1532,2251
0227_#1.jpg _P1,121,83,1540,84,121,2251,1536,2250
0228_#1.jpg _P1,120,84,1538,84,120,2251,1535,2250
0229_#1.jpg _P1,121,83,1540,86,118,2251,1534,2251
0230_#1.jpg _P1,120,83,1538,83,121,2250,1536,2249
0231_#1.jpg _P1,120,81,1538,81,121,2249,1536,2247
0232_#1.jpg _P1,120,81,1538,81,120,2248,1536,2247
0233_#1.jpg _P1,121,86,1539,88,118,2253,1534,2254
0234_#1.jpg _P1,119,84,1537,83,120,2250,1535,2250
0235_#1.jpg _P1,119,83,1537,83,120,2250,1536,2249
0236_#1.jpg _P1,119,84,1537,84,121,2251,1536,2250
0237_#1.jpg _P1,122,83,1540,86,118,2250,1534,2252
0238_#1.jpg _P1,119,82,1537,82,121,2249,1535,2249
0239_#1.jpg _P1,119,85,1537,84,119,2251,1535,2251
0240_#1.jpg _P1,124,84,1552,86,119,2256,1547,2255
0241_#1.jpg _P1,124,86,1552,88,120,2256,1546,2257
0242_#1.jpg _P1,126,85,1553,87,120,2255,1547,2256
0243_#1.jpg _P1,123,86,1551,87,119,2256,1545,2256
0244_#1.jpg _P1,125,86,1553,88,120,2257,1546,2258
0245_#1.jpg _P1,124,85,1552,87,119,2256,1546,2255
0246_#1.jpg _P1,124,85,1552,87,120,2256,1546,2256
0247_#1.jpg _P1,125,86,1552,88,120,2256,1546,2257
0248_#1.jpg _P1,125,85,1553,87,120,2256,1547,2257
0249_#1.jpg _P1,124,86,1552,88,119,2257,1546,2257
0250_#1.jpg _P1,124,86,1551,87,119,2256,1546,2256
0251_#1.jpg _P1,122,87,1550,87,120,2258,1546,2256
0252_#1.jpg _P1,124,86,1551,88,120,2257,1546,2257
0253_#1.jpg _P1,125,85,1553,86,121,2256,1548,2256
0254_#1.jpg _P1,123,87,1551,89,119,2258,1545,2258
0255_#1.jpg _P1,123,86,1550,87,120,2257,1546,2256
0256_#1.jpg _P1,122,87,1549,88,119,2258,1546,2257
0257_#1.jpg _P1,122,86,1549,87,119,2256,1545,2256
0258_#1.jpg _P1,123,86,1550,87,120,2256,1545,2256
0259_#1.jpg _P1,121,87,1550,87,119,2258,1546,2256
0260_#1.jpg _P1,122,88,1549,88,120,2259,1545,2257
0261_#1.jpg _P1,122,88,1549,88,119,2258,1546,2257
0262_#1.jpg _P1,124,86,1550,87,119,2256,1546,2256
0263_#1.jpg _P1,124,85,1551,86,120,2256,1547,2256
0264_#1.jpg _P1,121,87,1550,88,119,2257,1545,2257
0265_#1.jpg _P1,123,86,1551,87,120,2257,1547,2256
0266_#1.jpg _P1,121,87,1548,88,119,2257,1545,2257
0267_#1.jpg _P1,120,89,1548,88,119,2259,1545,2257
0268_#1.jpg _P1,121,86,1549,86,119,2256,1545,2255
0269_#1.jpg _P1,121,87,1548,87,120,2258,1546,2256
0270_#1.jpg _P1,122,86,1550,87,119,2257,1547,2256
0271_#1.jpg _P1,121,88,1549,89,119,2259,1547,2258
0272_#1.jpg _P1,122,86,1549,87,119,2257,1545,2256
0273_#1.jpg _P1,119,86,1547,85,120,2257,1547,2254
0274_#1.jpg _P1,123,88,1550,88,122,2258,1548,2257
0275_#1.jpg _P1,125,85,1552,88,119,2256,1545,2257
0276_#1.jpg _P1,122,86,1550,87,120,2256,1546,2256
0277_#1.jpg _P1,123,86,1551,87,120,2255,1546,2256
0278_#1.jpg _P1,122,85,1550,87,120,2256,1546,2255
0279_#1.jpg _P1,124,86,1552,87,121,2256,1547,2256
0280_#1.jpg _P1,121,88,1548,89,119,2258,1546,2257
0281_#1.jpg _P1,124,79,1551,81,119,2249,1545,2250
0282_#1.jpg _P1,122,87,1550,88,119,2257,1545,2257
